rs2493292 PRDM16
rs1271309 NCOR2,MIR6880
rs55641580 ATP12A
rs9532243 None
rs9549297 TPTE2P5
rs9526707 RNASEH2B,RNASEH2B-AS1
rs9563529 None
rs3861113 DACH1
rs7988232 None
rs1215469 AL137781.1
rs55684003 MBNL2
rs17880989 MMP14
rs4424827 None
rs11628933 None
rs731681 PLEKHH1
rs57786342 ZFP36L1
rs4903064 DPF3
rs8014182 MARK3
rs34161718 KIF26A
rs10873612 ATP10A,AC016266.1
rs2925345 INO80,INO80-AS1,AC020661.4
rs4924570 MGA
rs7178615 None
rs62004794 PIAS1
rs11853359 THSD4,AC064799.2
rs61653296 CCDC33
rs1378942 CSK,MIR4513
rs11634028 NRG4
rs2034618 TM6SF1,HDGFL3
rs7180952 ZSCAN2,AC048382.1,AC048382.5,AC048382.6
rs2521501 FES
rs873122 SLCO3A1,AC116903.1,AC116903.2
rs12906962 None
rs4984496 AC012409.2
rs9932866 WDR90,AL022341.2
rs28590346 SLC9A3R2
rs12921187 PPL
rs57327054 None
rs59333122 AC099518.3
rs13333226 PDILT,UMOD
rs6565174 GDPD3,YPEL3,AC012645.1
rs72799341 FBXL19,FBXL19-AS1
rs10468291 ZNF423
rs9932220 None
rs45474499 PDP2
rs7185555 None
rs8059962 CMIP
rs1126464 DPEP1
rs7215084 LINC01975
rs8069739 TMEM107,SNORD118,AC129492.4
rs12940887 ZNF652
rs34430710 PPM1E
rs4308 ACE,AC113554.1
rs2467099 ACOX1
rs57927100 SEPTIN9
rs112280096 AC110285.2,BAHCC1,AC110285.6
rs11665020 PIEZO2
rs4800420 None
rs10164193 ASXL3,AC091198.1
rs34163044 STARD6,POLI
rs72930904 CCDC68
rs12605156 AC022031.2
rs7235890 NEDD4L
rs2009733 KANK3
rs167479 CCDC151,RGL3
rs3745318 KLF2,AC020911.2
rs1077795 MYO9B
rs2304130 ZNF101
rs6511291 ZNF100,AC092364.1,AC092364.3
rs62104477 None
rs1821295 LINC01782,AC011518.1
rs12983238 FBXO17,AC011455.2,AC011455.3
rs4803327 C19orf47,AC118344.3
rs56236159 None
rs1607644 LINC01320
rs2707238 LINC00211
rs4952611 SLC8A1
rs11681462 None
rs76326501 None
rs1975487 PPP4R3B
rs72816333 AC007100.1
rs7608483 RNU6-1145P
rs13014371 VPS54
rs12052761 LINC01888,LINC01890
rs10193543 EXOC6B
rs1876487 SPR
rs2579519 FAHD2CP,RN7SL210P
rs4851462 ZAP70
rs6722745 SULT1C3
rs28377357 MERTK
rs62158170 AC016745.1
rs10864859 AC018866.2
rs13001283 None
rs4954192 ACMSD,CCNT2-AS1
rs7606205 ARHGAP15,AC079793.1
rs1438896 TEX41
rs34570306 None
rs62169544 RPL17P12
rs12990959 AC009480.2
rs1220128 None
rs2390258 SCN2A
rs6758859 MAP3K20
rs79146658 CCDC141,AC092640.1
rs10184839 AC068196.1,UBE2E3,LINC01934
rs16823124 PDE1A
rs7592578 None
rs2162003 None
rs1263671 KLF7
rs1063281 TNS1
rs1996992 CYP27A1
rs12474050 SPEG,GMPPA,AC053503.6,ASIC4-AS1,SPEGNB,AC053503.4
rs4507125 None
rs6108168 PLCB1
rs1327235 AL050403.2
rs1232482 BTBD3,AL035448.1
rs2618647 RNU6-192P
rs6060114 RNU6-384P,AL110115.2,HM13
rs13042148 PXMP4
rs4810332 None
rs6095241 PREX1
rs237485 KCNB1,AL035685.1
rs6015450 ZNF831
rs35213536 TCEA2
rs62229372 MORC3,AP000692.2
rs12627651 None
rs134041 None
rs4823006 C22orf31,ZNRF3
rs9609429 AP1B1P1
rs9865843 GRM7
rs4634143 None
rs13082711 None
rs72851229 RBMS3,AC098650.1
rs113134141 None
rs6797587 CDC25A
rs36022378 ACTBP13
rs9810888 CACNA1D
rs9827472 None
rs12486605 None
rs3774702 ATXN7,AC104162.2
rs918466 ADAMTS9-AS2
rs11923667 None
rs28675079 PHLDB2,PLCXD2
rs2306374 MRAS
rs16851397 ZBTB38
rs73158427 AC068985.1
rs78151625 MLF1
rs419076 MECOM
rs7611674 GNB4,AC007620.1
rs12374077 SENP2
rs1706003 TMEM44-AS1
rs6777317 AL121981.1
rs55829085 POLN,HAUS3
rs28667801 None
rs1878825 ARAP2
rs1718845 IGFBP7,UBE2CP3
rs6551716 None
rs16998073 FGF5
rs7694000 None
rs17248480 BANK1
rs13107325 SLC39A8
rs223361 UBE2D3,UBE2D3-AS1
rs7694643 LEF1
rs6825911 ENPEP
rs4834735 SYNPO2
rs66887589 PDE5A
rs4292285 AC098588.3,AC098588.2
rs13139571 GUCY1A1
rs954767 None
rs12515541 None
rs1848510 PLK2
rs10062049 None
rs10078021 None
rs62380354 LINC01339
rs12521868 IRF1-AS1,AC116366.3
rs55747751 HSPA4
rs9687065 SH3TC2
rs114503346 DUSP1,AC022217.3,AC022217.2,AC022217.4
rs72812846 CPEB4
rs28362590 PRELID1,RAB24,NSD1,MXD3
rs1799945 HFE
rs926552 GABBR1,SNORD32B,TMEM183AP1,RPL13AP,OR2H2
rs115245297 AL354740.1,NUDT3
rs4714224 KCNK5
rs9472135 LINC02537,AL157371.2
rs13205180 PKHD1
rs504691 None
rs10943605 PHIP,IRAK1BP1
rs7753695 BCKDHB
rs72613227 AL591518.1
rs3822857 FRK
rs2693560 None
rs9372498 SLC35F1
rs9401090 None
rs13209747 AL356534.1
rs668459 AL592429.2
rs17080102 PLEKHG1
rs9479509 RGS17
rs598682 OPRM1
rs9456648 None
rs11961593 AL590302.2,PDE10A
rs73033340 ZFAND2A,AC091729.3
rs2969070 GRIFIN
rs1468520 AC005532.1,C1GALT1
rs13240040 DGKB
rs4507656 RAPGEF5
rs10233127 MINDY4,INMT-MINDY4,AC004691.2
rs342989 None
rs73105827 CCM2
rs17454517 AC009296.1
rs2222544 AUTS2
rs34324971 GTF2I,AC211433.1
rs1947228 None
rs11556924 ZC3HC1,RNA5SP245,AC073320.2
rs1722886 AKR1B10
rs12703989 DENND2A
rs3918226 NOS3
rs9638084 LINC01006
rs2922895 ANGPT2,MCPH1
rs75902664 SLC7A2
rs1047030 SORBS3,AC037459.3
rs62503324 SLC25A37
rs17321041 DPYSL2
rs56345595 LINC02235
rs2142141 OSGIN2
rs2978098 SNX31
rs2513877 AZIN1,AZIN1-AS1
rs894344 ZFAT,ZFAT-AS1,AC015599.3,AC015599.2,AC015599.1
rs10087782 PTK2
rs34591516 GPR20,AC100803.3,AC100803.7
rs62524579 LY6E-DT
rs56233017 None
rs12216886 VLDLR-AS1
rs35287509 PTPRD
rs4364717 AL359922.1,MTAP
rs76452347 HRCT1,SPAAR
rs11141731 None
rs7020564 ZNF462
rs7043304 PALM2AKAP2
rs1861881 ASTN2,ASTN2-AS1
rs6271 DBH,DBH-AS1
rs11145807 None
