rs709209 ICMT,RNF207
rs12941318 CRK,AC032044.1
rs4796514 None
rs78378222 TP53
rs138285687 None
rs3135967 LIG3
rs79089478 KCNH4
rs56228409 RAMP2
rs62080325 PYY
rs9904409 None
rs17608766 GOSR2,AC005670.2
rs62076103 OSBPL7
rs12325702 MSI2
rs2645466 VMP1
rs740698 MRC2
rs35504735 MXRA7
rs963920 PSMG2
rs61735998 FHOD3
rs7236548 AC021517.1,SLC14A2,AC091151.2
rs36010659 None
rs12172847 ZCCHC2,AC064801.2
rs1047922 ZNF516
rs7250835 AC004156.1
rs3760994 DAZAP1,RPS15
rs740406 SF3A2,PLEKHJ1,DOT1L,MIR1227,MIR6789
rs2656523 MAP2K2
rs1529744 DNM2
rs10418305 NOTCH3
rs8111708 ELL,AC010335.1,AC010335.2,AC010335.3
rs1800470 TGFB1,B9D2,TMEM91,AC011462.1
rs7412 APOE,AC011481.3
rs34783010 GIPR,MIR642A,MIR642B
rs138877676 SPIB,MYBPC2,AC020909.1
rs2175337 None
rs7255 LDAH,GDF7,AC012065.4
rs66774912 AC067959.1
rs10779936 None
rs11690961 PRKCE
rs6730325 AC007092.1
rs925484 RNU1-32P,AC007381.1,MIR4432,AC007381.2
rs2540951 LINC02576,LINC02245
rs2631669 AC007389.1
rs6731373 None
rs3771371 ZNF638
rs11689667 TCF7L1,AC093162.1
rs150194832 None
rs4664080 STAM2
rs3175 ARL6IP6
rs560887 G6PC2,SPC25
rs151054210 CYBRD1
rs72914576 WIPF1,AC010894.3
rs60148403 AC074286.1,AC079305.4
rs11901929 DIRC1,AC092598.1
rs1469760 CYP20A1,RN7SL670P
rs1250259 FN1,AC012462.3
rs4674114 RNA5SP120,AC007563.2
rs12052878 None
rs2143635 TMEM239,C20orf141,AL035460.1
rs11087740 None
rs680515 SLX4IP
rs6081613 SLC24A3
rs6141767 C20orf203,FO393400.1
rs6141479 DYNLRB1,ITCH
rs867186 PROCR,AL356652.1
rs4811601 KIAA1755
rs11909120 None
rs9976596 AP000317.2,AP000317.1
rs2277788 LCA5L,SH3BGR,MIR6508,GET1-SH3BGR
rs35796750 COL6A1
rs11701512 DIP2A
rs12628032 ARVCF
rs737721 None
rs5753103 RNF215,CCDC157
rs5750482 TRIOBP,Z83844.1
rs470113 TNRC6B
rs73161324 XRCC6
rs77692990 BRD1
rs729639 None
rs189267552 None
rs4678915 TRANK1
rs6801957 SCN10A
rs9815354 ULK4,AC104305.1
rs141979279 KIF15
rs13303 NT5DC2,STAB1
rs7630745 LRIG1,SLC25A26
rs729448 None
rs9860290 CMSS1
rs1882289 ZBTB20,MIR4796
rs6806529 ADCY5
rs62270945 GATA2
rs62278541 AC021074.3
rs6772704 ANKUB1
rs2178452 None
rs16833934 None
rs4894535 FNDC3B
rs73171158 TBL1XR1
rs1250129 CTBP1-DT
rs231708 FAM193A
rs2498323 HGFAC,AL590235.2
rs7437940 AFAP1
rs3796822 WDR1
rs13122790 C1QTNF7,C1QTNF7-AS1,AC099550.1
rs11730129 PROM1
rs871606 AC058822.1,AC105384.2
rs6823199 LIN54,RNU6-615P
rs4699165 TET2
rs4835266 ZNF827
rs10305838 EDNRA
rs869396 PALLD
rs17059668 HAND2-AS1
rs7710854 None
rs6867399 ITGA1
rs72761109 MAP1B
rs4443403 None
rs10057188 LHFPL2
rs10474346 RNU4-90P,LUCAT1
rs286809 FBXL17
rs79409628 FER
rs1432457 None
rs9885577 None
rs2400509 SPINK7,AC011346.1,SPINK9
rs157678 SGCD,AC025434.1
rs62385385 EBF1
rs1334576 RREB1
rs9392172 BMP6
rs114275780 AL355499.1,AL355499.2
rs1630736 EDN1
rs9349379 PHACTR1
rs12216497 None
rs409558 MSH5,CLIC1,MSH5-SAPCD1
rs3176336 CDKN1A,DINOL
rs631441 MLIP
rs1925153 COL21A1
rs12195276 KCNQ5
rs60255247 None
rs9486916 None
rs11154027 None
rs6925750 None
rs4896104 None
rs7763294 AL357146.1
rs6941056 AIG1
rs13192976 ESR1
rs449789 None
rs555754 SLC22A3
rs4342401 SMOC2
rs1322639 LINC02544
rs2107595 None
rs1800795 IL6,IL6-AS1,STEAP1B
rs1055144 AC018706.1
rs917275 CREB5,AC005105.1
rs2052263 EEPD1
rs76206723 SUGCT
rs11760407 INHBA
rs1004558 YKT6,GCK
rs11977526 AC073115.2
rs71543920 None
rs12668436 TNS3
rs1091811 None
rs11770630 STEAP2,STEAP2-AS1
rs10245696 CDK14
rs2282978 CDK6,AC000065.2
rs12705090 TRIP6,SLC12A9,MIR6875
rs115172170 COG5
rs1997571 CAV1
rs10267979 CHRM2,AC009264.1,KRT8P51
rs73727605 ZNF467,SSPO
rs11991469 NRG1
rs7845722 FUT10
rs2978456 SLC20A2
rs1350100 None
rs1449544 None
rs7009170 LRRC69
rs2513758 None
rs28499085 TRHR
rs2205260 LINC00536
rs2071518 CCN3,AC021733.2
rs4454254 TRAPPC9
rs11789875 BNC2
rs4977492 HAUS6
rs4553000 UBAP1,AL353662.2
rs11139596 AL162726.3
rs10988442 COL15A1
rs13290326 ZNF618
rs10982910 None
rs1953126 PHF19
rs10818775 RABGAP1
rs72765298 SCAI
rs7869756 AL359091.2
